MONTHLY BUDGET

INCOME
Category,Amount
Your Income,$6000.00
Wife's Income,$4875.50
Total Income,$10875.50

FIXED MONTHLY EXPENSES
Expense,Amount
Truck,$900.00
Car,$700.00
Power,$400.00
Internet,$85.00
Water,$120.00
Phone,$550.00
Cars,$519.00
Am Nat,$104.17
Man Life,$34.30
Shelter,$641.00
Shelter,$362.90
Shelter,$300.00
Groceries,$600.00
Three Rivers (garbage),$14.00
IRS,$105.00
Loan (Upstart),$106.16
Shein,$100.00
VB (entry fees),$240.00
Boat,$565.00
Credit Card Consolidation,$338.00
Fuel,$800.00
Total Expenses,$7584.53

ACCOUNT ALLOCATION
Account,Amount,Purpose
Bills Account,$7785.00,Fixed expenses + $200 buffer
Savings Account,$900.00,Emergency fund + general savings
Spending Account,$2190.50,Discretionary spending
Total,$10875.50

SPENDING ACCOUNT BREAKDOWN
Category,Amount
Dining Out/Entertainment,$350.00
Personal (You),$225.00
Personal (Wife),$225.00
Household Items,$175.00
Car Maintenance,$150.00
Medical/Health,$150.00
Clothing,$100.00
Miscellaneous/Buffer,$815.50
Total Spending,$2190.50

SUMMARY
Category,Amount
Total Income,$10875.50
Total Fixed Expenses,$7584.53
Bills Account Buffer,$200.47
Savings,$900.00
Spending Money,$2190.50
